ID,Title,Author,Subject,Publisher,Year Of Publication,ISBN,Keywords,Copies
216,School Safety,"GoI, Ministry of Home Affairs, National Disaster Management Division",,"GoI, Ministry of Home Affairs, National Disaster Management Division",,,School Safety,1
217,Manufacture Of Modular Bricks,"R.B.Hajela, R.G.Gupta",,Central Building Research Institute-Roorkee,,,Bricks,1
218,The Netherlands In Brief,Astrum B.V,,Astrum B.V,2000,9053282343,,2
219,"Tribal Livelihood Resource Centre, Netrang",Aga Khan Rural Support Programme (AKRSP),,Aga Khan Rural Support Programme (AKRSP),2005,,,1
220,Washcost India,Centre For Economic and Social Studies,,Centre For Economic and Social Studies,,,,1
221,"Building Homes, Hope And Communities Around The Globe",Habitat For Humanity,,Habitat For Humanity,,,"Building, Communities",1
222,Quality Of Drinking Water In India: Highly Neglected At Policy Level – Volume-1 Issue-11,Shital Lodhia,,CFDA,Oct'2006,,"Water,",1
223,"An Outline Integrated Coastal Management Plan For The Digha-Shankarpur Area In W.Bengal, India","Dr. P.B.Rastogi, Aloknath Praharaj, M.Rajeshwar Prasad, Alka Palrecha",,Jadavpur University- Calcutta,2001,,,1
224,Hope & Possibilities,SAVE,,SAVE,2008-09,,,1
225,Glossary For The Gem Basic Building Taxonomy,"Svetlana Brzev, Charles, andrew Charleson, Kishor Jaiswal",,GEM,Mar 2012,,Building Taxonomy,1
226,Kutchna Nagaro Mate Punrvasan Nu Packege,Unnati,,Unnati,2001,,,1
227,State Of Municipalities In Gujarat,Unnati,,Unnati,,,A Participatory Study of Four towns,1
228,Najivi Babato- Makan Ni Salamati Mate,"Rajendra Desai, Rupal Desai",,NCPDP,Jan'2009,,,1
229,Jawaharlal Nehru National Urban Renewal Mission,Government of India,,Government of India,Dec-2005,,,1
230,The World Bank In India – Volume 8 Issue 6,The World Bank,,The World Bank,May 2010,,,1
231,Network Paper,HPN,,HPN,Dec 2010,,,
232,Global Water Intelligence – Volume 10 Issue 11,Media Analytics Ltd,,Media Analytics Ltd,Nov' 2009,,,1
233,Trainer's Guide For Training In Hazard Resistant Construction," Rajendra Desai, Rupal Desai ",,NCPDP,June 2009,,Construction,1
234,"Development In Bihar Overview, Appraisal And Approach",Aga Khan Foundation (India),,Aga Khan Foundation (India),July 2007,,,1
235,Plight Of Urban Poor Housing And Livelihood Problem In Gujarat,Dr. Jalinde Adsule,,Action-aid,,,,1
236,Journal Of The Indian Institute Of Architects- Volume 64 Issue 10 ,Vasant Ranade,,The Indian Institute of Architects,Oct'1999,,,1
237,"Fifth Monitoring Mission Report - Cida Supported Tsunami Projects, India","Vivek Rawal, Thamizoli Perumal",,CIDA,April 2009,,"Tsunami, Disaster,",1
238,Earth Architecture,Ronald Rael,,Princeton Architectural Press,2009,978 1 56898 945 7,"Earth, Architecture",1
239,Impact Of Earthquake Safety Initiatives In Uttarakhand (India),"Dr.Piyoosh Rautela, Shailendra Kumar, Manoj Pande, Kailash Chandra Pande",,Disaster Mitigation and Management Centre,May 2007,,"Earthquake , Uttarakhand, ",2
240,Workshop On Owner Driven Reconstruction And Rehabilitation For Kosi Flood Affected Regions,"Amitabh Sahrma, Neeraj Labh",,Govt. of Bihar- Department of Planning and Development,Dec 2008,,,1
241,Reference Material- Owner Driven Reconstruction: Towards A Policy Framework,National Conference On Owner Driven Reconstruction,,National Conference On Owner Driven Reconstruction,2009,,,1
242,Guidelines For Earthquake Resistance Non-Engineered Construction,"NICEE, Indian Institute of Technology Kanpur",,"NICEE, Indian Institute of Technology Kanpur",2004,,"Building, Houses, Construction, Earthquake",1
243,"Seismic Conceptual Design Of Buildings- Basic Principles For Engineers, Architects, Building Owners And Authorities",Hugo Bachmann,,Not Known,2003,,"Building, Architects, Engineers",1
244,Structure As Architecture,Andrew W Charleson,,Elsevier,2005,0 7506 6527 0,"Structure, Architect",1
245,A Manual Of Earthquake Resistant Non-Engineered Construction,Indian Society of Earthquake Technology- Roorkee,,Indian Society of Earthquake Technology- Roorkee,1989,,"Earthquake, Housing",1
246,Planning For The Reconstruction Of The Kosi Flood Affected Area,"Govt. of Bihar, UNDP",,"Govt. of Bihar, UNDP",Jan'2010,,"Flood, Construction",1
247,Geology Of Gujarat,S.S.Merh,,Geological Society of India,1995,8185867143,"Gujarat,",1
248,"Sustainable Reconstruction Initiative In Karaikal, Pondicherry, India",Development Alternatives,,Development Alternatives,Oct 2008,,"Reconstruction, Karaikal",1
249,Water Resource Management In Junagadh,Ambuja Cement Foundation,,Ambuja Cement Foundation,March 2009,,"Water, Junagadh",1
250,Earthquakes -Forecasting & Mitigation,H.N. Srivastava,,"National Book Trust, India",1983,978 81 237 4262 5,Earthquakes,1
251,Earthquakes,A.K.R.Hemmady,,"National Book Trust, India",1996,81 237 2005 X,Earthquakes,1
252,Coastal Hazards,H.N.Srivastava,,"National Book Trust, India",2009,978 81 237 5452 9,"Cyclones, Tsunamis, Other Disasters",1
253,The Bamboo Book,National Mission On Bamboo Applications,,National Mission On Bamboo Applications,2005,,"19 Selected Indian Species, Bamboo",1
254,Earth As A Building Material For Housing,Ahmedabad Study Action Group,,Ahmedabad Study Action Group,,,"Housing, Valod,",2
255,Synopsis,Indubhai Parekh School of Architecture- Rajkot,,Indubhai Parekh School of Architecture- Rajkot,,,Study Report,1
256,Rural House Plans,Laurie Baker,,COSTFORD,March 2002,,"Houses, Rural",1
257,Rubbish,Laurie Baker,,COSTFORD,,,Houses,1
258,Rural Community Building,Laurie Baker,,COSTFORD,1997,,"Houses, Rural",1
259,Design Manual For A Barrier- Free Built Environment,"Sweta Byahut, Anand Patel, Amit Sheth, Arindam Mitra, Rajesh Moothan",,Unnati,Dec 2004,,Design Manual,1
260,Housing By People,John F.C.Turner,,Marion Boyars- Londan,1976,0 7145 2568 5,"Housing, People, Building",1
261,Cementitious Binder From Waste Lime Sludge And Risk Husk- Volume 59 Issue 1,"Central Building Research Institute, Roorkee (Up) India",,"Central Building Research Institute, Roorkee (Up) India",,,"Housing, Building",1
262,Silicate Based Water Proofing Formulations For Buildings - Volume 52 Issue 1,"Central Building Research Institute, Roorkee (Up) India",,"Central Building Research Institute, Roorkee (Up) India",,,"Housing, Building",1
263,Houses How To Reduce Building Costs,Laurie Baker's,,Costford,1986,,"Housing, People, Building",1
264,Humanitarian Exchange 28,HPN,,HPN,Nov 2004,,,1
265,Humanitarian Exchange 29,HPN,,HPN,March 2005,,,1
266,Humanitarian Exchange 31,HPN,,HPN,Sept 2005,,,1
267,Humanitarian Exchange 32,HPN,,HPN,Dec 2005,,,1
268,Humanitarian Exchange 33,HPN,,HPN,March 2006,,,1
269,Humanitarian Exchange 34,HPN,,HPN,June 2006,,,1
270,Humanitarian Exchange 37,HPN,,HPN,March 2007,,,2
271,Humanitarian Exchange 38,HPN,,HPN,June 2007,,,1
272,Humanitarian Exchange 39,HPN,,HPN,June 2008,,,1
273,Humanitarian Exchange 40,HPN,,HPN,Sept 2008,,,1
274,Humanitarian Exchange 43,HPN,,HPN,June 2009,,,1
275,Humanitarian Exchange 45,HPN,,HPN,Dec 2009,,,1
276,Humanitarian Exchange 46,HPN,,HPN,March 2010,,,1
277,Humanitarian Exchange 47,HPN,,HPN,June 2010,,,1
278,Humanitarian Exchange 68  Safety With Dignity,HPN,,HPN,March 2010,,Network Paper,1
279,The World Bank In India – Volume 7 Issue 3,The World Bank,,The World Bank,Nov 2008,,,1
280,Road Map Of Srilanka,Survey Department,,Survey Department,,,"Maps, Srilanka",1
281,Humanitarian Exchange 48,HPN,,HPN,Oct 2010,,,1
282,Bhutan A Sketchbook,Doug Patterson,,The Tarayana Foundation,2009,978 99936 634 4 7,Bhutan,1
283,Vernacular Housing In Seismic Zones Of India,"Intertect, University of New Mexico",,"Intertect, University of New Mexico",,,Building,1
284,Guidelines For Cyclone Resistant Construction Of Buildings In Gujarat,GSDMA,,GSDMA,Dec 2001,,"Cyclone, Building",1
285,Towards A Sustainable Tomorrow: New Agenda For Business,"UNEP, UNFCC",,"UNEP, UNFCC",March 2010,,Workshop,1
286,Building Resilient Communities,CORDAID,,CORDAID,2007,1 930261 17 9,"Business, Community, Disaster",1
287,Rural West Bengal Block-Wise Maping Of Selected Indicators,"Vikas Rawal, V.K.Ramchandran, Mathura Swaminathan",,Not Known,,,"Maps,West Bengal",1
288,"Repair, Restoration And Retrofitting Of Masonry Building In Kuchchh Earthquake Affected Areas Of Gujarat",GSDMA,,GSDMA,March 2002,,"Earthquake, Gujarat",1
289,Engineering Design Of Earth Buildings,Standards New Zealand,,Standards New Zealand,1998,,"Buildings, Design",1
290,Materials And Workmanship For Earth Buildings,Standards New Zealand,,Standards New Zealand,1998,,"Buildings, Design",1
291,Stri Jivan Ka Sangharsha: Prachin Kal Se Bhakti Aandolan Tak- Part-1,Trupti Shah,,Unnati,2009,,Nari Aandolan Ka Itihas Part-1,1
292,Stri Samanta Aur Matadhikar Vishwa Me Nari Aandolan,Trupti Shah,,Unnati,2009,,Nari Aandolan Ka Itihas Part-2,1
293,Samajik Sudhar Aur Swatantrata Aandolan Me Striya,Trupti Shah,,Unnati,2009,,Nari Aandolan Ka Itihas Part-3,1
294,Vavazodu- Margdarshika,GSDMA,,GSDMA,April 2005,,Syclone,1
295,Shu Tamaru Ghar Aag Thi Salamat Chhe? -Margdarshan,GSDMA,,GSDMA,Aug 2004,,,1
296,Poor,GSDMA,,GSDMA,2004,,,1
297,Sunami,GSDMA,,GSDMA,,,,1
298,Aag- Ghar Ma Suraksha,GSDMA,,GSDMA,,,,1
299,Impact Of Sea Level Rise Due To Greenhouse Effect : Gujarat Coast,"N.D.Desai, P.K.Patel, P.P.Patel, K.C.Tiwari",,"Department of Geology, Vadodara",1992,,"Coastal, Gujarat",1
300,Vavazoda Same Purva Taiyari Ane Suraksha,GSDMA,,GSDMA,,,,1
301,Bhukamp,GSDMA,,GSDMA,,,,1
302,Audhyogik Aafato,GSDMA,,GSDMA,,,,1
303,Poor Mate Suraksha,GSDMA,,GSDMA,,,,1
304,Vijali- Suraksha Ane Salamati,GSDMA,,GSDMA,,,,1
305,Swayam Sevak Sha Mate?,GSDMA,,GSDMA,,,,1
306,Shodh Ane Bachav Tukdi Mateni Karya Paddhatio,GSDMA,,GSDMA,,,,1
307,Aagotari Chetavani Tatha Sandesha Vyavhar,GSDMA,,GSDMA,,,,1
308,Aatlu To Jarur Karo,GSDMA,,GSDMA,,,,1
309,Kardio Palmonary Risasiteshan (C.P.R),GSDMA,,GSDMA,,,,1
310,Technical Guidelines For Brick Based Construction Part-1,"Vivek Rawal, Kiran, Sandeep, Vinodkumar, B.M.Singh, Barun, Dr.Anand",,Bihar Aapada Punarwas Evam Punarnirman Society,2010,,"Gove. of Bihar, Brick",6
311,Technical Guidelines For Bamboo Based Construction Part-II,"Vivek, Kiran, Sandeep, Vinodkumar, B.M.Singh, Barun, Dr.Anand",,Bihar Aapada Punarwas Evam Punarnirman Society,2010,,"Gove. of Bihar, Bamboo",6
312,"Summary Report- Regional Construction Gandhidham, July 16-18,2008",Vivek Rawal,,ODR- Collaborative Secretariat,2010,,,1
313,"Summary Report- Workshop On Owner Driven Reconstruction And Rehabilitation For Kosi Flood Affected Regions, Patna ,Bihar, Dec 16-19,2008",Vivek Rawal,,ODR- Collaborative Secretariat,2010,,,2
314,"Summary Report- National Conference, New Delhi, Jan 20-21,2008",Vivek Rawal,,ODR- Collaborative Secretariat,2010,,,1
315,Nirman Margdarshika Part-1 (Makan Ke Prakar),Bihar Aapada Punarwas Evam Punarnirman Society,,Bihar Aapada Punarwas Evam Punarnirman Society,,,,4
316,Nirman Margdarshika Part-2 (Bans Ki Diwar Ke Sath Drichhatiya Ghar),Bihar Aapada Punarwas Evam Punarnirman Society,,Bihar Aapada Punarwas Evam Punarnirman Society,,,,4
317,Nirman Margdarshika Part-3 (Int Ki Diwar Ke  Sath Drichhatiya Ghar),Bihar Aapada Punarwas Evam Punarnirman Society,,Bihar Aapada Punarwas Evam Punarnirman Society,,,,4
318,Nirman Margdarshika Part-4 (Int Ki Diwar Ke  Upar Rcc Ichhat Ke Ghar),Bihar Aapada Punarwas Evam Punarnirman Society,,Bihar Aapada Punarwas Evam Punarnirman Society,,,,4
319,Survey Of Damage To Historic Adobe Buildings After The January 1994 Northridge Earthquake,"E.Leroy tolles, Frederick A Webster,  Anthony Crosby, Edna E Kimbro",,The Getty Conservation Institute- Los Angeles,1996,0 89236 391 6,Building,2
320,Artisan And The Craft,"Sankalp, Tejas Patel",,Not Known,,,"Kosi Region, Building",1
321,Humanitarian Exchange - Volume Jan 2011 Issue 49,HPN,,HPN,Jan 2011,,,1
322,Network Paper - Volume Jan 2011 Issue 69,"Richard Garfield, Wirth Courtney Blake",,HPN,Jan 2011,,,1
323,"Safar Homes, Stronger Communities",Abhas K. Jha,,The World Bank,2010,978 0 8213 8045 1,Disasters,1
324,Water First,Kuntala Lahiri-Dutt & Robert J. Wasson,,Sage Publications,2008,978 0 7619 3625 1,Issues and Challenges For Nations ,1
325,"The Gujarat State Disaster Management Act,2003",GSDMA,,GSDMA,,,,2
326,Gujarat State Disaster Management Policy,GSDMA,,GSDMA,,,,2
327,Kutch Rehabilitation,GSDMA,,GSDMA,,,Story of Human Resilience and Endeavour,2
328,Street Vendors In Ahmedabad,Prof.K.S.Naglakar,,"School of Planing, CEPT, A'bad",,,Street Vendor,1
329,Panchwati,Banwari,,Shri Vinayaka Publications- Delhi,1992,81 85810 00 1,,1
330,Iic Agrarian Crisis And Farmers' Suicide,P.Sainath,,India International Centre-  Delhi,,,,1
331,Mausam Parivartan: Nishanatoni Najare,"Paryavaran Mitra, Jan Vikas",,"Paryavaran Mitra, Jan Vikas",Jan 2010,,,1
332,Building Pri Capacities For Disaster Preparedness And Management- A Training Manual,Lalatendu Rath,,UNDP,,,Disaster,1
333,Mainstreaming Disability In Disaster Management,Asha Huns,,UNDP,,,Disaster,1
334,The World Bank In India- Volume 9 Issue 8,The World Bank,,The World Bank,May 2011,,,1
335,Network Paper -Volume 11 Issue 1,"Paul Harvey, Sarah Bailey",,HPN,2011,9781907288388,Good Practice Review,1
336,Global Water Intelligence- Volume 12 Issue 5,Christopher Gasson,,Christopher Gasson,May 2011,,Water,1
337,Humanitarian Exchange- Volume April 2011 Issue 50,HPN,,HPN,April 2011,,,1
338,Rebuilding Bhachau,Unnati,,Unnati,April 2002,,"Building, Bhachau",1
339,Building Our Own Houses,Actionaid,,Actionaid,,,,3
340,"Permanent Housing Reconstruction In The Andaman & Nicobar Islands, India",Actionaid,,Actionaid,,,,4
341,Bhachau Sahbhagi Nagar Aayojan,Unnati,,Unnati,,,,1
342,Participatory Town Planing In Bhachau,Unnati,,Unnati,,,,2
343,Earthquake Scenario,National Society For Earthquake Technology-Nepal (NEST),,National Society For Earthquake Technology-Nepal (NEST),Jan-2004,,Earthquake,1
344,Bhukamp Pratirodhi Bhavan Nirman Nirdeshika,National Society For Earthquake Technology-Nepal (NEST),,National Society For Earthquake Technology-Nepal (NEST),Bhadra-2061,,Earthquake,1
345,Safar Society - Annual Report 2008,National Society For Earthquake Technology-Nepal (NEST),,National Society For Earthquake Technology-Nepal (NEST),June 2009,,Earthquake,1
346,Earthquakes- A Manual For Designers  And Builders,"Jitendra Bothara, Ramesh Guragain, Amod Dixit",,National Society For Earthquake Technology-Nepal (NEST),2002,,"Earthquake, Manual",1
347,Non-Structural Vulnerability Assessment Of Hospitals In Nepal,"Ramesh Guragain, Bishnu Hari Pandey, Surya Narayan, Yadab Dhakal, Ramchandra",,National Society For Earthquake Technology-Nepal (NEST),Dec-2003,,Earthquake,1
348,Earthquake Resistant Construction Of Buildings - Curriculum For Mason Training,"Suryanarayan, Surya Prasad, Ramchandra, Bijay Upadhyay, Jitendra Bothara",,National Society For Earthquake Technology-Nepal (NEST),Feb-2005,,Earthquake,1
349,"Symposium On Seismology, Earthquake Hazard Assessment And Risk Management",Amod Mani Dixit,,National Society For Earthquake Technology-Nepal (NEST),Oct-2004,,Earthquake,1
350,Seismic Vulnerability Evaluation Guideline For Private And Public Builder,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,May-2011,978 9937 8453 4 2,Earthquake,1
351,Documentation Of Indigenous Knowledge And Technologies For Safer Buildings,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,May-2011,978 9937 8453 6 6,"Earthquake, Buildings",1
352,Guidelines For Mason Training On Earthquake Resistant Construction Of Buildings,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,May-2011,978 9937 8453 3 5,"Earthquake, Buildings",1
353,Recovery Principles And Guidelines,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,May-2011,978 9937 8453 5 9,"Earthquake, Buildings",1
354,Engineers' Training On Earthquake Resistant Design Of Buildings- Volume I:Seismicity And Design Aspects,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,May-2011,978 9937 8453 0 4,"Earthquake, Buildings",1
355,Engineers' Training On Earthquake Resistant Design Of Buildings- Volume Ii : Computer Aided Design,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,May-2011,978 9937 8453 1 1,"Earthquake, Buildings",1
356,Illustrated Guideline For Construction Of Earthquake Safe Residential Building,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal,Dec-2010,,"Earthquake, Buildings",1
357,Technical Guidelines & Information For Stone Construction In Uttarakhand,"Rajendra Desai, Rupal Desai,",,"Disaster Mitigation and Management Center, Dehradun",Dec 2012,,Stone Construction,1
358,Guidelines For Incorporating Earthquake Safety Measures In Repair And Maintenance Of Buildings With Historical/Archeological Importance,"Ramesh Guragain, Amod Dixit",,National Society For Earthquake Technology-Nepal (NSET),,,"Earthquake, Buildings",1
359,"Report On Impact Of Sattlement Pattern, Landuse Practice And Options In High Risk Areas -Pokhara Sub Metropolitan City- Final Report",Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,July 2009,,"Earthquake, Buildings",1
360,Earthquake Vulnerability Profile And Preparedness Plan,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,July 2009,,"Earthquake, Buildings",1
361,Recommendation For Update Of Nepal National Building Code- Revised Final Report,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,,,"Earthquake, Buildings",1
362,Report On Earthquake Vulnerability Of Mobile Towers And Associated Structures In Kathmandu Valley,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,,,"Earthquake, Buildings, Mobile tower",1
363,Earthquake Vulnerability Profile And Preparedness Plan- Final Report July 2009,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,Jan 2010,,"Earthquake, Buildings",1
364,"Report On Impact Of Sattlement Pattern, Landuse Practice And Options In High Risk Areas -Hetauda Municipality- Final Report",Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,,Earthquake Risk Reduction and Recovery Preparedness Programme For Nepal- UNDP,July 2009,,"Earthquake, Buildings",1
365,Guideline On Seismic Vulnerability Evaluation And Retrofit Design Of Buildings In Bhutan,"National Society For Earthquake Technology-Nepal (NEST) , SQCA",,"National Society For Earthquake Technology-Nepal (NEST) , SQCA",,,"Buildings, Design",1
366,Guidelines: Selection And Employment Of Consultants By World Bank Borrowers,Not Known,,Not Known,May 2004,,Construction,1
367,Guidelines For Preparing School Disaster Management Plan,"Disaster Management Division Ministry of Home, Cultural Affairs Royal Govt. of Bhutan",,"Disaster Management Division Ministry of Home, Cultural Affairs Royal Govt. of Bhutan",,,Disaster,1
368,Emergency  Safety And First Aid Handbook,"Disaster Management Division Ministry of Home, Cultural Affairs Royal Govt. of Bhutan",,"Disaster Management Division Ministry of Home, Cultural Affairs Royal Govt. of Bhutan",2009,,First Aid Handbook,1
369,Displacement Juggernaut - Case Studies From States,Malavika Vartak,,Forum- Delhi,June 2008,,Case Studies,1
370,Vikas Niyojan Aevam Bhumi Adhigrahan: Sangharsh Ka Drastikon,Forum- Delhi,,Forum- Delhi,May 2011,,Case Studies,1
371,A Tutorial: Improving The Seismic Performance Of Stone Masonry Buildings,"Jitendra Bothara, Svetlana Brzev",,"EERI, NICEE",Jan2012,,Building,1
372,Earthquake Design Concepts,"C.V.R.Murty, Andrew W.Charleson",,NICEE,2006,978 81 906130 8 8,Earthquake,1
373,Proceedings Of The International Conference On Disaster Management And Cultural Heritage,"Policy & Planing Division, Royal Govt. of Bhutan",,"Policy & Planing Division, Royal Govt. of Bhutan","12-14 Dec,2010",,Bhutan,1
374,Street Vendor's Policy For Ahmedabad City- Final Report,Cept University,,Cept University,,,Final Report,1
375,Humanitarian Exchange- Volume July 2011 Issue 51,HPN,,HPN,July 2011,,,1
376,"Down To Earth -1-15 Oct, 2011",Society For Environmental Communications,,Society For Environmental Communications,Oct 2011,,On Wildlife,1
377,"Down To Earth- 16-31 Oct, 2011",Society For Environmental Communications,,Society For Environmental Communications,Oct 2011,,Antibiotic Trap,1
378,Parivartan Na Panthe Adim Jutho,Aga Khan,,Aga Khan,2011,,,1
379,Economic & Political Weekly,Sameeksha Trust Publication,,Sameeksha Trust Publication,2010,,,1
380,Economic & Political Weekly,Sameeksha Trust Publication,,Sameeksha Trust Publication,2010,,,1
381,Earth Sheltered Housing Design,Van Nostrand Reinhold Company,,Van Nostrand Reinhold Company,,,"Construction, Guidelines, Examples",1
382,"Coastal Salinity In Gujarat State-Problems, Responses And Mitigation Measures- With Special Reference To South Sourastra Coast",Not Known,,Not Known,,,,1
383,Building Detailing And Fixtures,"Central Building Research Institute, Roorkee",,Central Building Research Institute- Roorkee,,,,1
384,The World Bank In India- Volume 10 Issue 2,The World Bank,,The World Bank,Sept 2011,,,1
385,A Compendium On Disaster Risk Management,"GoI, UNDP",,"GoI, UNDP",2002-07,,Disaster,1
386,Gunvatta Vardhak Ane Aapatti Pratirodhak Bandhkamni Margdarshika,"Rajendra Desai, Rupal Desai",,NCPDP,Sept 2011,,,1
387,Local Level Risk Management,"NDMA, Ministry of Home Affairs, Government of India",,"NDMA, Ministry of Home Affairs, Government of India",2002-07,,Disaster,1
388,Disaster Management In India,"Ministry of Home Affairs, Government of India",,"Ministry of Home Affairs, Government of India",2011,,Disaster,1
389,International Workshop On Adapting Rural Livelihoods To Climate Change,Institute of Rural Management Anand (IRMA),,Institute of Rural Management Anand (IRMA),Feb 14-15 2012,,,1
390,National Disaster Risk Management Framework,Disaster Management Division,,Disaster Management Division,,,Bhutan,1
391,Tentative Programme To Conduct Training Workshop And Mock Drill Exercise In Samdrup Jongkhar,Disaster Management Division,,Disaster Management Division,,,,1
392,"Progress Report Of Akrsp (I)'S Services Unit, 2008-11",AKRSP,,AKRSP,2011,,Vadvai,1
393,"Disaster Management Bill Of The Kingdom Of Bhutan,2011",Disaster Management Division,,Disaster Management Division,,,,1
394,SPBD Construction Guide,SPBD,,SPBD,May 2010,,Construction,1
395,Manufacture Of Lime And Lime Products,N.G.Dave,,Central Building Research Institute- Roorkee,1985,,Lime,1
396,Alternative Building Materials And Technologies,"K.S.Jagadish, B.V.Venkatarama Reddy, K.S.Nanjunda Rao",,New Age International Publishers,2007,81 224 2037 0,"Building, Architect",2
397,Tribal Architecture In India,Dr.O.P.Joshi,,Gujarat Vidyapeeth- Ahmedabad,2010,978 81 89854 38 6,"Architecture, India",1
398,Shu Tamaru Ghar Aag Thi Salamat Chhe?,GSDMA,,GSDMA,2004,,Aag,1
399,Vidhantantra Aam Aadmini Najare,"Gujarat Social Watch, Paryavaran Mitra",,"Gujarat Social Watch, Paryavaran Mitra",Feb 2012,,,2
400,Consultations With The Poor Participatory Poverty Assessment In Gujarat,"Indra Hirway, Basanta Sahu, Shital Lodhia",,CFDA,Feb 2002,,Gujarat,1
401,Coastal Marine Environment Of Gujarat,Pranav Desai,,Gujarat Ecological Society- Vadodara,March 1999,,Saurashtra Coast Report-Iii,1
402,"Liberalisation, Globalisation And Industrialisation","Indira Hirway, Amita Shah",,Oxfam,Oct 1997,,Conflict and Resolution ,1
403,Coastal Marine Environment Of Gujarat,Gujarat Ecological Society- Vadodara,,Gujarat Ecological Society- Vadodara,Aug 1997,,Gulf of Kuchchh Report-I,1
404,Coastal Marine Environment Of Gujarat,"R.Sen Gupta, Geetanjali Deshmukhe",,Gujarat Ecological Society- Vadodara,April 2000,,Ecology and Economics,1
405,Dariya Kinara Sanvad Yatra,"Pankti Jog, Mital Patel",,Janpath,Dec 2006,,"Aheval,",1
406,Status Of Drinking Water In Coastal Saurashtra Need For Area Specific Approach,"Indira Hirway, Subhrangsu Goswami",,CFDA,March 2006,,"Rajkot, Coastal",1
407,Baseline Survey For The Scale Programme Of AKRSP(I),Shital Lodhia,,CFDA,March 2004,,Interim Report,1
408,Arresting Salinity And Protecting Livelihoods In Coastal Areas,Shilpa Vasavada,,Gramya Vikas Trust- Dwarka,2010/11,,"Dwarka, Salinity",1
409,Combating Drought:Asuccess Story From Rajasthan,Ashok Gopal,,"ICEF,BDRF",2003,,,1
410,Gujarat Na Dariya Kanthana Savalo- Prasar Madhyamoma,Pankti Jog,,Janpath,Dec 2006,,"Gujarat, Salinity",1
411,Dariya Kinara Na Savalo,Pankti Jog,,Janpath,Sept 2011,,"Gujarat, Salinity",1
412,From Hariyali To Neeranchal,"Department of Land Resources, Ministry of Rural Development",,"Department of Land Resources, Ministry of Rural Development",Jan 2006,,Report of Thetechnical Committee,1
413,Gujarat Coastal Salinity Prevention & Mitigation Initiative Mundra-Kutch,Shree Vivekanand Research & Training Institute- Mandvi,,Shree Vivekanand Research & Training Institute- Mandvi,2003,,Salinity,1
414,Level Three Leadership,James G.Clawson,,Prentice Hall,2012,0 13 255641 3,,1
415,Training On Housing Stock Vulnerability Assessment Framework,"Unnati, People In Centre",,"Unnati, People In Centre",2011,,"Bhachau, Dec 8 to Dec 12,2011",2
416,"The Impect Of Akrsp Work In The Meghal River Basin, Junagadh:A Socio-Technical Analysis","Shilp Verma, Niraj Joshi, Sunderrajan Krishnan",,AKRSP,Dec 2011,,"Junagadh,",2
417,Studies On Understanding Of Salinity Pattern And Establishment Of Monitoring Network In Villages Of Netravati Watershed In Mangrol Taluka District-Junagadh,AKRSP,,AKRSP,Aug 2006,,Interim Report,1
418,Samasya Yukt Jamin Piyat Pani Ane Teni Vyavastha Ange Talim V Charcha Parisanvad,Gujarat Krushi University- Junagadh,,Gujarat Krushi University- Junagadh,1999,,,1
419,A Study On Status Of Natural Resources In Coastal Areas Of Gujarat,"Nafisha Barot, Modini Shinivas, Kaushik Rawal, Naishadh Shukla, Dinesh Pateliya, Dinesh Pandya",,Utthan- Ahmedabad,1995,,,1
420,Pani Samiti Aetle Shu?,AKRSP,,AKRSP,,,"Water, Gadu, Gujarat",1
421,Status Paper On Salinity Ingress Prevention In The Coastal Areas Of Gujarat,AKRSP,,AKRSP,,,"Coastal, Gujarat",1
422,Stories Worth Regarding …2005,V K Jogal,,AKRSP,,,,1
